_id,userId,correct.answers,ms,timestamp,response_ms,symbol,trial
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1854,circle,6
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2280,plus,7
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1953,inf,8
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2188,hamburger,9
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1994,plus,10
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2210,star,11
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2534,window,12
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2139,plus,13
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,3005,star,14
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2456,plus,15
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1594,square,16
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1860,plus,17
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2244,triangle,18
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1918,hamburger,19
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1849,inf,20
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1819,window,21
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1611,hamburger,22
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1529,square,23
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,3463,circle,24
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2191,inf,25
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2044,triangle,26
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2559,star,27
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1689,square,28
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1878,inf,29
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1527,hamburger,30
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2993,star,31
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1676,inf,32
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2118,window,33
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,3016,star,34
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1990,triangle,35
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1497,circle,36
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1756,inf,37
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1996,triangle,38
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,1368,mult,39
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2218,star,40
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,5603,square,1
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,3208,window,2
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,4443,mult,3
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,4112,star,4
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2064,circle,5
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,1888,plus,6
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,4047,mult,7
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2877,square,8
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2280,hamburger,9
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,1973,inf,10
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2071,square,11
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2341,plus,12
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2173,inf,13
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,4038,window,14
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2356,square,15
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,1826,triangle,16
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2403,hamburger,17
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,3675,square,18
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2803,plus,19
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,1691,circle,20
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,3354,hamburger,21
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2675,circle,22
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2506,hamburger,23
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,1921,circle,24
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1,2017-06-01 10:37:13.065,2897,inf,25
